"Titre","Auteur","Prenom","Nom","Date_creation","Dates_naissance_deces_artiste","Lieu_naissance","Date_naissance","Lieu_deces","Date_deces","Domaine","id_domaine","Technique","Dimensions","Dimensions_split_1","DimX","DimY","DimZ","Annee_acquisition","Type_acquisition","Type_acquisition_copy","Précisions_acquisition","No_inventaire","Lien_Navigart"
"Mort de Judas","Octave PENGUILLY-L'HARIDON","Octave","PENGUILLY-L'HARIDON","1861","Paris (France), 1811 - Paris (France), 1870","Paris (France)"," 1811 "," Paris (France)"," 1870","Peinture","2","Il a enroulé autour d'un arbre une corde, dont l'autre extrémité est fixée à son cou et, agenouillé au bord d'un ravin, il s'apprête à se lancer dans le vide.Huile sur toile","126.4 x 75 x 11.3 cm","126.4 x 75 x 11.3 ","126.4 "," 75 "," 11.3 ","1861","Don","1","Don de l'artiste en 1861","1126","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004257"
"Illustration pour Notre-Dame de Paris de V. Hugo","Luc-Olivier MERSON","Luc-Olivier","MERSON","1888","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Estampe","4","Estampe, IllustrationEau-forte, tirage sur papier Rives filigranné","27,7 x 22,4 cm6,3 x 11,8 cm (hors marge)","27,7 x 22,4 ","27,7 "," 22,4 ","","1925","Don","1","Don de Héritiers Merson en 1925","2687","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143152"
"Le cirque","René PINARD","René","PINARD","1890","Nantes (Loire-Atlantique), 1883 - Paris (France), 1938","Nantes (Loire-Atlantique)"," 1883 "," Paris (France)"," 1938","Dessin","3","Mine graphite sur feuille à carreaux","14,4 x 12,2 cm","14,4 x 12,2 ","14,4 "," 12,2 ","","1938","Don","1","Don de l'artiste en 1938","3313","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003082"
"Courses à Longchamp","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","s.d.","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Gravure","35 x 45 cm","35 x 45 ","35 "," 45 ","","1939","Achat","3","Achat en 1939","2648","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082217"
"Talus avec arbustes (ajoncs ?)","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Pierre noire, rehauts de craie blanche sur papier brun","24,7 x 42,4 cm","24,7 x 42,4 ","24,7 "," 42,4 ","","1983","Achat","3","Achat à M. Philippe Merson en 1983","983.21.56.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003912"
"Etudes de chênes","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Pierre noire sur papier gris","29,2 x 41,5 cm","29,2 x 41,5 ","29,2 "," 41,5 ","","0","Inconnu","0","Acquisition","2016.0.45.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000144274"
"Le combat de Nazareth","Antoine-Jean GROS","Antoine-Jean","GROS","1801","Paris (France), 1771 - Meudon (Hauts-de-Seine), 1835","Paris (France)"," 1771 "," Meudon (Hauts-de-Seine)"," 1835","Peinture","2","La scène représente la fin du combat où le général Junot commanda les cinq cents Français, vainqueurs à Nazareth, de dix mille Turcs. On voit Junot un peu à gauche, montant un cheval blanc fougueux et sabrant un ennemi, après en avoir abattu un autre d'un coup de pistolet. Le chef de brigade Desnoyers passe au galop devant le général et donne des ordres aux fantassins qui repoussent une charge furieuse des Turcs. Au fond à droite, les dragons du chef de brigade Duvivier exécutent une charge. A gauche, dans la plaine, des ennemis en déroute. Sur le devant de la composition, nombreux épisodes de combats isolés ; des cadavres, des blessés, des chevaux. A l'horizon, la silhouette du Mont Thabor ; en face, le village de Cana.Huile sur toile","136,1 x 196,4 x 3 cm","136,1 x 196,4 x 3 ","136,1 "," 196,4 "," 3 ","1854","Don","1","Don de M. Urvoy de Saint-Bedan en 1854","1005","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004185"
"Tête de jeune homme","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain","40,5 x 29,3 cm","40,5 x 29,3 ","40,5 "," 29,3 ","","0","Inconnu","0","Acquisition","5708","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069757"
"Le lever de la lune","Emmanuel PHELIPPES-BEAULIEUX","Emmanuel","PHELIPPES-BEAULIEUX","17 octobre 1864","Nantes (Loire-Atlantique), 1819 - Nantes (Loire-Atlantique), 1874","Nantes (Loire-Atlantique)"," 1819 "," Nantes (Loire-Atlantique)"," 1874","Estampe","4","Eau-forte sur papier","13 x 9 cm","13 x 9 ","13 "," 9 ","","1948","Don","1","Don de M. Michel Noury en 1948","3504","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005845"
"Le déluge (ébauche)","Léon-François COMERRE","Léon-François","COMERRE","1872","Trélon (Nord), 1850 - Paris (France), 1916","Trélon (Nord)"," 1850 "," Paris (France)"," 1916","Peinture","2","Esquisse pour le concours de RomeHuile sur toile","27 x 35 cm","27 x 35 ","27 "," 35 ","","1975","Achat","3","Achat en 1975","975.12.1.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000001534"
"Armoiries parlantes sur un linteau de porte au village de Bois-Garand","Emmanuel PHELIPPES-BEAULIEUX","Emmanuel","PHELIPPES-BEAULIEUX","avril 1865","Nantes (Loire-Atlantique), 1819 - Nantes (Loire-Atlantique), 1874","Nantes (Loire-Atlantique)"," 1819 "," Nantes (Loire-Atlantique)"," 1874","Estampe","4","Eau-forte sur papier","3 x 9,5 cm","3 x 9,5 ","3 "," 9,5 ","","1948","Don","1","Don de M. Michel Noury en 1948","3535","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005876"
"Trois études de ""La Fortune""","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier calque","19,2 x 6,5 cm","19,2 x 6,5 ","19,2 "," 6,5 ","","0","Inconnu","0","Acquisition","5047","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067512"
"Le serment de Brutus. Brutus est à gauche","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Plume sur papier calque","8,5 x 12,8 cm","8,5 x 12,8 ","8,5 "," 12,8 ","","0","Inconnu","0","Acquisition","5105","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068223"
"Femme revêtue d'un manteau drapé","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","31 x 19 cm","31 x 19 ","31 "," 19 ","","0","Inconnu","0","Acquisition","5205","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000068420"
"Gothic arch, New York","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","s.d.","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier","32,5 x 22,9 cm27,6 x 13,5 cm (hors marge)","32,5 x 22,9 ","32,5 "," 22,9 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3725(5)","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082610"
"Pier Eleven, New York","Henry Wilfrid DEVILLE","Henry Wilfrid","DEVILLE","s.d.","Nantes (Loire-Atlantique), 1871 - Paris (France), 1939","Nantes (Loire-Atlantique)"," 1871 "," Paris (France)"," 1939","Estampe","4","Estampe, EpreuveEau-forte, tirage sur papier vergé","26,4 x 15,5 cm21,5 x 12,1 cm (hors marge)","26,4 x 15,5 ","26,4 "," 15,5 ","","1949","Legs","4","Legs DEVILLE, Mme veuve en 1949","3739","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000082161"
"Costume d'un prélat","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb","31 x 23 cm","31 x 23 ","31 "," 23 ","","0","Inconnu","0","Acquisition","5726","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069772"
"Etude : cheveux ou plumet de casque","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Crayon sur papier","9 x 21,4 cm","9 x 21,4 ","9 "," 21,4 ","","1983","Achat","3","Achat à M. Philippe Merson en 1983","983.21.20.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003876"
"Trois études de femme : debout, assise penchée en avant, de dos","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain sur papier calque","48,3 x 30,5 cm","48,3 x 30,5 ","48,3 "," 30,5 ","","0","Inconnu","0","Acquisition","6067","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069818"
"Femme de dos et de face","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","31,5 x 21 cm","31,5 x 21 ","31,5 "," 21 ","","0","Inconnu","0","Acquisition","6077","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000069828"
"Etude de figures volantes","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Crayon, fusain, plume et encre sur papier calque piqué pour report","19,5 x 30,5 cm","19,5 x 30,5 ","19,5 "," 30,5 ","","1983","Achat","3","Achat à M. Philippe Merson en 1983","983.21.30.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003886"
"Femme assise de profil","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","fusain sur papier","32,2 x 57 cm","32,2 x 57 ","32,2 "," 57 ","","0","Achat","3","Achat","5839","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007315"
"Personnage de face","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","fusain et crayon sur papier calque","25,8 x 13,5 cm","25,8 x 13,5 ","25,8 "," 13,5 ","","0","Inconnu","0","Acquisition","5869","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007381"
"Couverture pour ""La Revue Nantaise""","Jean-Emile LABOUREUR","Jean-Emile","LABOUREUR","1897","Nantes (Loire-Atlantique), 1877 - Pénestin (Morbihan), 1943","Nantes (Loire-Atlantique)"," 1877 "," Pénestin (Morbihan)"," 1943","Estampe","4","Lithographie en couleurs","28,5 x 43,8 cm","28,5 x 43,8 ","28,5 "," 43,8 ","","1966","Don","1","Don de Mme Laboureur en 1966","966.12.30.E","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003830"
"Etude de fougères","Luc-Olivier MERSON","Luc-Olivier","MERSON","s.d.","Paris (France), 1846 - Paris (France), 1920","Paris (France)"," 1846 "," Paris (France)"," 1920","Dessin","3","Pierre noire sur papier brun","32,3 x 20 cm","32,3 x 20 ","32,3 "," 20 ","","0","Inconnu","0","Acquisition","2016.0.22.D","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000143810"
"Marché à Rouen sous Louis XVI","Léonard SAURFELT","Léonard","SAURFELT","s.d.","?, 1840 - ?, ?","?"," 1840 "," ?"," ?","Peinture","2","Huile sur toile","31 x 51,2 cm","31 x 51,2 ","31 "," 51,2 ","","0","Inconnu","0","Acquisition Selon l'inventaire vient des dépôts 1946","3053","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000038414"
"Rienzi, acte V. Prière de Rienzi","Henri FANTIN-LATOUR","Henri","FANTIN-LATOUR","achevé en 1886","Grenoble (Isère), 1836 - Buré (Orne), 1904","Grenoble (Isère)"," 1836 "," Buré (Orne)"," 1904","Estampe","4","Lithographie sur papier","22,6 x 14,7 cm","22,6 x 14,7 ","22,6 "," 14,7 ","","1912","Legs","4","Legs en 1912","3289","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000008227"
"Persée","Jacques-Clément WAGREZ","Jacques-Clément","WAGREZ","1879","Paris (France), 1850 - Paris (France), 1908","Paris (France)"," 1850 "," Paris (France)"," 1908","Peinture","2","Persée tient de la main droite son épée et de la gauche la tête de Méduse dont le corps git à terre. Derrière le héros, à droite, Minerve menace de sa lance deux Gorgones qu'on voit à gauche au fond, à l'entrée de leur antre. Sur le sol, des ossements humains. Fond de rochers.Huile sur toile","280,6 x 170 x 4,5 cm","280,6 x 170 x 4,5 ","280,6 "," 170 "," 4,5 ","1879","Dépôt","2","Achat à l'artiste en 1879Centre national des arts plastiquesDépôt au Musée des Beaux-Arts de Nantes en 1879","1218","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003561"
"Une tête de barbu, vue de face","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Crayon, fusain et craie sur papier","23,8 x 30,6 cm","23,8 x 30,6 ","23,8 "," 30,6 ","","0","Inconnu","0","Acquisition","5067","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000067532"
"La conque du Vieux-Château, Belle-Ile","Maxime MAUFRA","Maxime","MAUFRA","1905","Nantes (Loire-Atlantique), 1861 - Poncé-sur-le-Loir (Sarthe), 1918","Nantes (Loire-Atlantique)"," 1861 "," Poncé-sur-le-Loir (Sarthe)"," 1918","Dessin","3","Fusain, aquarelle, mine de plomb sur papier","28,5 x 44 cm","28,5 x 44 ","28,5 "," 44 ","","1937","Don","1","Don Madame veuve Maufra en 1937","2452","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002703"
"Le barrage du Loir à Poncé","Maxime MAUFRA","Maxime","MAUFRA","1909","Nantes (Loire-Atlantique), 1861 - Poncé-sur-le-Loir (Sarthe), 1918","Nantes (Loire-Atlantique)"," 1861 "," Poncé-sur-le-Loir (Sarthe)"," 1918","Peinture","2","Huile sur toile","46.2 x 55 x 1.9 cm","46.2 x 55 x 1.9 ","46.2 "," 55 "," 1.9 ","1937","Achat","3","Achat Madame veuve Maufra en 1937","2200","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002702"
"Etude de Christ en croix","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain et frottis de craie sur papier","43,7 x 29 cm","43,7 x 29 ","43,7 "," 29 ","","0","Inconnu","0","Acquisition","4188","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065107"
"Etudes d'une femme agenouillée et l'autre buste redressé","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","10,5 x 16,2 cm","10,5 x 16,2 ","10,5 "," 16,2 ","","0","Inconnu","0","Acquisition","4189","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065108"
"Etude du cadavre d'Abel","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier calque","7 x 21 cm","7 x 21 ","7 "," 21 ","","0","Inconnu","0","Acquisition","4332","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000065160"
"Vue de Chambellay","Prosper BARBOT","Prosper","BARBOT","s.d.","Nantes (Loire-Atlantique), 1798 - Chambellay (Maine-et-Loire), 1878","Nantes (Loire-Atlantique)"," 1798 "," Chambellay (Maine-et-Loire)"," 1878","Peinture","2","Huile sur toile","28 x 38,5 cm","28 x 38,5 ","28 "," 38,5 ","","1936","Legs","4","Legs de Le Chatellier en 1936","936.10.1.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005335"
"Maraichinage","Auguste Louis LEPÈRE","Auguste Louis","LEPÈRE","avant 1918","Paris (France), 1849 - Domme (Dordogne), 1918","Paris (France)"," 1849 "," Domme (Dordogne)"," 1918","Peinture","2","Huile sur toile","32,8 x 40,7 cm","32,8 x 40,7 ","32,8 "," 40,7 ","","1949","Legs","4","Legs de M. Deville en 1949","949.6.3.P","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002458"
"Rue de l'Orne à Argentan","Jean-Baptiste Olivier de WISMES","Jean-Baptiste Olivier de","WISMES","s.d.","Paris (France), 1814 - Nantes (Loire-Atlantique), 1887","Paris (France)"," 1814 "," Nantes (Loire-Atlantique)"," 1887","Dessin","3","Crayon bleu sur papier","26 x 34 cm","26 x 34 ","26 "," 34 ","","1955","Achat","3","Achat à la Librairie Bellanger en 1955","6447","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005925"
"Buste d'homme, quasi de face, tête 3/4 gauche, bras gauche levé","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Fusain sur papier","36 x 23 cm","36 x 23 ","36 "," 23 ","","0","Inconnu","0","Acquisition","5929","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007753"
"Jeune homme assis de profil, main gauche au visage, qui est pensif. main droite allongée","Jules Elie DELAUNAY","Jules Elie","DELAUNAY","XIXe siècle","Nantes (Loire-Atlantique), 1828 - Paris (France), 1891","Nantes (Loire-Atlantique)"," 1828 "," Paris (France)"," 1891","Dessin","3","Mine de plomb sur papier","31,3 x 18 cm","31,3 x 18 ","31,3 "," 18 ","","0","Inconnu","0","Acquisition","5930","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000007754"
"Les baigneuses","Alfred Philippe ROLL","Alfred Philippe","ROLL","vers 1909","Paris (France), 1846 - Paris (France), 1919","Paris (France)"," 1846 "," Paris (France)"," 1919","Peinture","2","Dans un paysage de rêve, des baigneuses nues : l'une d'elles est étendue à gauche, au premier plan ; en arrière de celle-ci, trois autres se tiennent par la main ; à droite, sur la berge, une jeune femme à demi drapée se dirige vers l'eau, où une de ses compagnes l'appelle. Dans le fond : à gauche, une statue sur un piedestal flanqué de colonnes ; à droite, d'autres monuments dans le lointain.Huile sur toile","78.2 x 133 x 3.8 cm","78.2 x 133 x 3.8 ","78.2 "," 133 "," 3.8 ","1911","Don","1","Don de l'artiste en 1911","1160","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000003291"
"Les Derniers rayons ; soir d'hiver","Victor-Marie ROUSSIN","Victor-Marie","ROUSSIN","avant 1900","Quimper (Finistère), 1812 - ?, 1900","Quimper (Finistère)"," 1812 "," ?"," 1900","Peinture","2","Sur une hauteur, au bord d'une rivière, deux bûcherons devant un bouquet d'arbres dorés par le soleil couchant.Huile sur toile","98 x 119 cm","98 x 119 ","98 "," 119 ","","1900","Don","1","Don de l'artiste en 1900","1166","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004356"
"Monument à Waldeck-Rousseau","Laurent-Honoré MARQUESTE","Laurent-Honoré","MARQUESTE","1910","Toulouse (Haute-Garonne), 1848 - Paris (France), 1920","Toulouse (Haute-Garonne)"," 1848 "," Paris (France)"," 1920","Sculpture","1","Plâtre","115 x 118 cm","115 x 118 ","115 "," 118 ","","1920","Don","1","Don de Mme Waldeck-Rousseau en 1920","2322","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000002661"
"La Mare","Ernest CHEROT","Ernest","CHEROT","avant 1883","Cholet (Maine-et-Loire), 1814 - Bruxelles (Belgique), 1883","Cholet (Maine-et-Loire)"," 1814 "," Bruxelles (Belgique)"," 1883","Peinture","2","Un coin d'une pièce d'eau, encombrée d'herbes aquatiques et fermée par une vanne. A gauche, une route pavée en pierre, abritée de grands arbres ; au fond, une pente menant vers d'autres arbresHuile sur toile","41,6 x 32,6 x 1,5 cm","41,6 x 32,6 x 1,5 ","41,6 "," 32,6 "," 1,5 ","1910","Don","1","Don des artistesM. Chérot Albert, fils en 1910","866","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000004099"
"Portrait de Douillard fils","H. GEROND","H.","GEROND","vers 1870","?, ? - ?, ?","?"," ? "," ?"," ?","Dessin","3","Mine de plomb sur papier","22,5 x 18,5 cm16 x 13 cm (hors marge)","22,5 x 18,5 ","22,5 "," 18,5 ","","1908","Don","1","Don en 1908","3399","https://www.stg.navigart.fr/museedartsdenantes/#/artwork/110000000005548"
